time,district,rainfall_mm
2019-01-01,Nagpur,0.0
2019-01-02,Nagpur,0.0
2019-01-03,Nagpur,0.0
2019-01-04,Nagpur,0.0
2019-01-05,Nagpur,0.0
2019-01-06,Nagpur,0.0
2019-01-07,Nagpur,0.0
2019-01-08,Nagpur,0.0
2019-01-09,Nagpur,0.0
2019-01-10,Nagpur,0.0
2019-01-11,Nagpur,0.0
2019-01-12,Nagpur,0.0
2019-01-13,Nagpur,0.0
2019-01-14,Nagpur,0.0
2019-01-15,Nagpur,0.0
2019-01-16,Nagpur,0.0
2019-01-17,Nagpur,0.0
2019-01-18,Nagpur,0.0
2019-01-19,Nagpur,0.0
2019-01-20,Nagpur,0.0
2019-01-21,Nagpur,0.0
2019-01-22,Nagpur,0.0
2019-01-23,Nagpur,0.0
2019-01-24,Nagpur,0.0
2019-01-25,Nagpur,13.811912536621094
2019-01-26,Nagpur,1.6625616550445557
2019-01-27,Nagpur,0.0
2019-01-28,Nagpur,0.0
2019-01-29,Nagpur,0.0
2019-01-30,Nagpur,0.0
2019-01-31,Nagpur,0.0
2019-02-01,Nagpur,0.0
2019-02-02,Nagpur,0.0
2019-02-03,Nagpur,0.0
2019-02-04,Nagpur,0.0
2019-02-05,Nagpur,0.0
2019-02-06,Nagpur,0.0
2019-02-07,Nagpur,0.0
2019-02-08,Nagpur,0.0
2019-02-09,Nagpur,0.0
2019-02-10,Nagpur,0.0
2019-02-11,Nagpur,0.0
2019-02-12,Nagpur,0.0
2019-02-13,Nagpur,0.0
2019-02-14,Nagpur,0.0
2019-02-15,Nagpur,0.0
2019-02-16,Nagpur,0.23753072321414948
2019-02-17,Nagpur,0.0
2019-02-18,Nagpur,0.0
2019-02-19,Nagpur,0.0
2019-02-20,Nagpur,0.0
2019-02-21,Nagpur,0.0
2019-02-22,Nagpur,0.0
2019-02-23,Nagpur,0.0
2019-02-24,Nagpur,0.0
2019-02-25,Nagpur,0.0
2019-02-26,Nagpur,0.0
2019-02-27,Nagpur,0.0
2019-02-28,Nagpur,0.0
2019-03-01,Nagpur,0.0
2019-03-02,Nagpur,0.0
2019-03-03,Nagpur,1.0330332517623901
2019-03-04,Nagpur,0.0
2019-03-05,Nagpur,0.0
2019-03-06,Nagpur,0.0
2019-03-07,Nagpur,0.0
2019-03-08,Nagpur,0.0
2019-03-09,Nagpur,0.0
2019-03-10,Nagpur,0.0
2019-03-11,Nagpur,0.0
2019-03-12,Nagpur,0.0
2019-03-13,Nagpur,0.0
2019-03-14,Nagpur,0.0
2019-03-15,Nagpur,0.0
2019-03-16,Nagpur,0.0
2019-03-17,Nagpur,0.0
2019-03-18,Nagpur,0.0
2019-03-19,Nagpur,0.0
2019-03-20,Nagpur,0.0
2019-03-21,Nagpur,4.045841693878174
2019-03-22,Nagpur,0.0
2019-03-23,Nagpur,0.0
2019-03-24,Nagpur,0.0
2019-03-25,Nagpur,0.0
2019-03-26,Nagpur,0.0
2019-03-27,Nagpur,0.0
2019-03-28,Nagpur,0.0
2019-03-29,Nagpur,0.0
2019-03-30,Nagpur,0.0
2019-03-31,Nagpur,0.0
2019-04-01,Nagpur,0.0
2019-04-02,Nagpur,0.0
2019-04-03,Nagpur,0.0
2019-04-04,Nagpur,0.0
2019-04-05,Nagpur,0.16024106740951538
2019-04-06,Nagpur,0.0
2019-04-07,Nagpur,0.0
2019-04-08,Nagpur,0.0
2019-04-09,Nagpur,0.0
2019-04-10,Nagpur,0.0
2019-04-11,Nagpur,0.0
2019-04-12,Nagpur,0.6276107430458069
2019-04-13,Nagpur,0.0
2019-04-14,Nagpur,0.0
2019-04-15,Nagpur,0.0
2019-04-16,Nagpur,0.18694789707660675
2019-04-17,Nagpur,0.48072314262390137
2019-04-18,Nagpur,0.0
2019-04-19,Nagpur,0.0
2019-04-20,Nagpur,0.0
2019-04-21,Nagpur,0.0
2019-04-22,Nagpur,0.0
2019-04-23,Nagpur,0.0
