blast_count_7d,avg_blast_intensity,rainfall_mm_24h,rainfall_mm_7d,crack_count_7d,avg_crack_score,critical_crack_flag,elevation_m,area_sq_km,days_since_inspection,is_monsoon,risk_score,risk_label
10,8.02,4.31,56.07,4,0.156,0,293.6,38.5,87,1,0.3113,yellow
1,7.5,60.62,142.23,5,0.001,0,795.3,312.6,57,1,0.2393,green
11,1.21,90.86,263.5,10,0.612,0,283.7,153.2,79,1,0.4648,yellow
6,2.53,0.0,0.0,6,0.013,0,765.3,286.0,8,0,0.1487,green
1,7.16,12.6,67.05,11,0.122,0,497.1,26.9,77,1,0.2662,yellow
5,2.87,0.0,0.0,3,0.185,0,781.8,389.8,33,0,0.1372,green
13,7.55,18.15,100.45,7,0.57,0,512.5,481.0,84,1,0.4197,yellow
12,2.27,9.44,442.89,0,0.0,0,209.4,217.5,0,1,0.2203,green
10,2.79,0.0,0.0,7,0.729,1,662.8,46.3,40,0,0.3308,yellow
4,7.57,0.0,0.0,7,0.275,0,536.7,197.6,46,0,0.2262,green
0,0.0,3.14,5.41,4,0.561,0,662.6,252.0,8,0,0.1011,green
6,5.28,0.0,2.29,3,0.908,1,349.6,211.1,42,1,0.3633,yellow
12,1.69,34.33,0.0,10,0.695,1,728.3,315.9,61,0,0.4397,yellow
11,4.75,0.0,73.9,10,0.324,0,273.3,184.6,61,1,0.3872,yellow
12,8.75,0.0,0.0,6,0.165,0,520.5,247.6,50,0,0.2872,yellow
8,4.63,7.12,25.27,0,0.0,0,352.3,131.0,38,1,0.183,green
16,2.33,0.0,0.0,7,0.037,0,565.7,256.3,53,0,0.2928,yellow
1,5.78,0.0,0.0,9,0.986,1,345.2,339.3,74,0,0.3337,yellow
5,4.31,0.0,0.0,3,0.983,1,439.3,410.1,15,0,0.2748,yellow
2,6.32,0.0,0.0,10,0.22,0,626.7,406.7,19,0,0.2261,green
8,7.22,0.0,16.94,6,0.937,1,282.5,177.1,88,0,0.4033,yellow
15,8.35,7.8,57.73,8,0.517,0,356.5,498.2,11,1,0.4105,yellow
